,county,total_organic_carbon
146,"Churchill, Nevada",118.75
147,"Clarion, Pennsylvania",1805.0944881889764
148,"Clark, Indiana",3355.735294117647
149,"Clark, Kentucky",2363.3333333333335
150,"Clark, Nevada",88.67924528301887
151,"Clarke, Alabama",1822.857142857143
152,"Clarke, Iowa",6301.398601398601
153,"Clarke, Virginia",1917.8048780487804
154,"Clay, Alabama",1523.0642857142857
155,"Clay, Illinois",4930.645161290323
156,"Clay, Kentucky",1890.6944444444443
157,"Clay, Minnesota",5009.58904109589
158,"Clay, West Virginia",1568.2698961937717
159,"Clearfield, Pennsylvania",934.946587537092
160,"Cleburne, Alabama",2567.5
161,"Clermont, Ohio",51.25
162,"Cleveland, North Carolina",1693.7532133676093
163,"Cleveland, Oklahoma",4505.172413793103
164,"Clinton, Illinois",4248.395721925133
165,"Clinton, Kentucky",1761.164021164021
166,"Clinton, Michigan",630.0
167,"Clinton, New York",3092.5795454545455
168,"Clinton, Pennsylvania",739.7709923664122
169,"Coal, Oklahoma",4955.972222222223
170,"Coconino, Arizona",2542.8571428571427
171,"Colbert, Alabama",2087.617554858934
172,"Coles, Illinois",3829.3046357615895
173,"Columbia, New York",1580.0
174,"Columbia, Pennsylvania",566.1111111111111
175,"Columbus county, North Carolina",5930.699300699301
176,"Colusa, California",400.0
177,"Comanche, Oklahoma",3790.1151515151514
178,"Contra costa, California",3320.7119205298013
179,"Converse, Wyoming",1486.7334
180,"Cook, Illinois",1737.104518072289
181,"Cortland, New York",1200.0
182,"Cotton, Oklahoma",4996.870629370629
183,"Covington, Virginia",1453.0555555555557
184,"Craig, Oklahoma",3633.318493150685
185,"Crawford, Pennsylvania",2706.9421487603304
186,"Creek, Oklahoma",5289.648788927336
187,"Crittenden, Kentucky",4136.232876712329
188,"Cullman, Alabama",2776.0707746478874
189,"Culpeper, Virginia",3615.902777777778
190,"Cumberland, Illinois",3745.1388888888887
191,"Cumberland, Kentucky",1851.388888888889
192,"Cumberland, Maine",2816.6666666666665
193,"Cumberland, North Carolina",5063.316326530612
194,"Cumberland, Pennsylvania",1320.485651214128
195,"Cumberland, Virginia",1647.4074074074074
196,"Custer, Montana",2245.1428571428573
197,"Custer, Oklahoma",6260.149659863946
198,"Daggett, Utah",3138.4897435897433
199,"Dakota, Minnesota",146.15384615384616
200,"Danville, Virginia",2065.902777777778
201,"Dare, North Carolina",4344.2307692307695
202,"Dauphin county, Pennsylvania",1610.9259259259259
203,"Dauphin, Pennsylvania",1265.2904564315352
204,"Davidson, North Carolina",3166.5019011406844
205,"Davie, North Carolina",1582.018691588785
206,"Davis, Iowa",5309.652777777777
207,"Davis, Utah",2347.12
208,"Dawson, Montana",2181.2182741116753
209,"Decatur, Indiana",3123.208955223881
210,"Decatur, Iowa",5949.93006993007
211,"Dekalb, Alabama",1754.6207762557078
212,"Del norte, California",201.11111111111111
213,"Delaware, Indiana",2940.4545454545455
214,"Delaware, Oklahoma",2974.3781407035176
215,"Delaware, Pennsylvania",2846.25
216,"Denali, Alaska",0.0
217,"Des moines, Iowa",3593.239436619718
218,"Dickenson, Virginia",2003.5714285714287
219,"Dickinson, Iowa",5501.721170395869
220,"Dillingham, Alaska",280.0
221,"Doddridge, West Virginia",5083.854166666667
222,"Douglas, Nevada",87.13692946058092
223,"Dubois, Indiana",3045.278810408922
224,"Duchesne, Utah",2788.4615384615386
225,"Durham, North Carolina",4395.4359
226,"Dutchess, New York",2499.786384976526
227,"Edgar, Illinois",2982.0
228,"Edgecombe, North Carolina",5871.527777777777
229,"Edmonson, Kentucky",2153.2887029288704
230,"Effingham, Illinois",4069.5205479452056
231,"El dorado, California",206.16666666666666
232,"Elk, Pennsylvania",1407.0621468926554
233,"Elko, Nevada",0.0
234,"Elmore, Alabama",2129.807106598985
235,"Emery, Utah",2229.190751445087
236,"Erie, New York",4600.5291005291
237,"Erie, Pennsylvania",2701.2244008714597
238,"Esmeralda, Nevada",0.0
239,"Essex county, New York",3111.5384615384614
240,"Essex, New York",2895.9672196721313
241,"Estill, Kentucky",1952.2138888888887
242,"Etowah, Alabama",3279.5138888888887
243,"Eureka county, Nevada",0.0
244,"Eureka, Nevada",0.0
245,"Fairbanks north star, Alaska",11158.888888888889
246,"Fairfax, Virginia",2999.4421487603304
247,"Fairfield, South Carolina",2437.7272727272725
248,"Faribault, Minnesota",0.0
249,"Fauquier, Virginia",1930.8783783783783
250,"Fayette, Alabama",2183.3935018050543
251,"Fayette, Illinois",4478.869310344828
252,"Fayette, Kentucky",2423.2695374800637
253,"Fayette, Pennsylvania",1452.5148401826484
254,"Fayette, West Virginia",1584.236187845304
255,"Flathead, Montana",879.8984771573604
256,"Fleming, Kentucky",3418.0263157894738
257,"Florence, South Carolina",3324.652777777778
258,"Floyd, Kentucky",1519.5407239819006
259,"Fluvanna, Virginia",2246.204379562044
260,"Forsyth, North Carolina",1800.3000994035785
261,"Franklin county, New York",4441.995348837209
262,"Franklin, Alabama",1818.7507082152974
263,"Franklin, Illinois",4663.760563380282
264,"Franklin, Kentucky",2243.0281690140846
265,"Franklin, Maine",1550.0
266,"Franklin, New York",3170.2702702702704
267,"Franklin, North Carolina",4545.03731884058
268,"Franklin, Ohio",3300.0
269,"Franklin, Pennsylvania",1180.6643192488264
270,"Franklin, Vermont",2849.843448275862
271,"Franklin, Virginia",1391.849315068493
272,"Frederick, Virginia",1195.8333333333333
273,"Fremont, Wyoming",903.2
274,"Fresno, California",2241.6332263242375
275,"Fulton, Illinois",3780.075704225352
276,"Fulton, Pennsylvania",990.0
277,"Galax, Virginia",1157.7083333333333
278,"Gallatin, Montana",1555.875
279,"Garfield, Oklahoma",1197.5
280,"Garrard, Kentucky",2524.3150684931506
281,"Garvin, Oklahoma",5082.9537037037035
282,"Gaston, North Carolina",1651.744762954796
283,"Genesee, New York",1096.202564102564
284,"Georgetown, South Carolina",5307.6745644599305
285,"Gibson, Indiana",4109.848484848485
286,"Gilmer, West Virginia",1638.175281690141
287,"Glacier, Montana",2387.8453038674033
288,"Gloucester, New Jersey",2906.6666666666665
289,"Gloucester, Virginia",3799.7902097902097
290,"Goodhue, Minnesota",0.0
291,"Grady, Oklahoma",4467.529411764706
292,"Graham, North Carolina",411.6233766233766
293,"Grand forks, North Dakota",10212.752293577982
294,"Grand isle, Vermont",1150.1571428571428
295,"Granite, Montana",2925.0
296,"Grant, Kentucky",3516.655172413793
297,"Grant, West Virginia",2392.0542372881355
298,"Granville, North Carolina",6271.128205128205
299,"Gratiot, Michigan",890.0
300,"Grayson, Kentucky",2905.205882352941
301,"Grayson, Virginia",1296.1538461538462
302,"Green, Kentucky",2760.0
303,"Greenbrier, West Virginia",1624.609375
304,"Greene, Illinois",5030.405405405405
305,"Greene, Pennsylvania",1821.6374269005848
306,"Greene, Virginia",680.7894736842105
307,"Greensville, Virginia",3838.3216783216785
308,"Greenup, Kentucky",2439.056603773585
309,"Greenville, South Carolina",1207.046511627907
310,"Greenwood, South Carolina",2000.9027777777778
311,"Guilford, North Carolina",3641.4699792960664
312,"Guthrie, Iowa",3871.2328767123286
313,"Haines, Alaska",4280.255999999999
314,"Halifax, North Carolina",3409.43793911007
315,"Halifax, Virginia",2353.1111111111113
316,"Hamilton, New York",4527.777777777777
317,"Hampshire, West Virginia",1781.3629629629631
318,"Hancock, Illinois",4440.164551724138
319,"Hancock, Maine",2766.6666666666665
320,"Hancock, West Virginia",1894.5559701492537
321,"Hanover, Virginia",3106.451612903226
322,"Hardin, Kentucky",1278.34375
323,"Hardy, West Virginia",1541.2
324,"Harlan, Kentucky",1215.1012024048096
325,"Harnett, North Carolina",5330.899653979239
326,"Harrison, Kentucky",3395.266666666667
327,"Harrison, West Virginia",3317.080465549348
328,"Harrisonburg, Virginia",848.6805555555555
329,"Hart, Kentucky",1167.3333333333333
330,"Hartford, Connecticut",0.0
331,"Haskell, Oklahoma",3639.1535836177472
332,"Haywood, North Carolina",740.9137055837564
333,"Henderson, Kentucky",2468.0140186915887
334,"Henderson, North Carolina",943.1111111111111
335,"Hennepin, Minnesota",6496.575342465753
336,"Henrico, Virginia",1377.0360110803324
337,"Henry, Kentucky",809.0322580645161
338,"Henry, Virginia",1178.125
339,"Hill, Montana",2868.0232558139537
340,"Hoonah-angoon, Alaska",125.0
341,"Hopewell, Virginia",3713.157894736842
342,"Hopkins, Kentucky",3285.7006369426754
343,"Horry, South Carolina",9270.173611111111
344,"Hot springs, Wyoming",2614.942528735632
345,"Hudson, New Jersey",2660.3495440729484
346,"Hughes, Oklahoma",6337.935599284437
347,"Humboldt, California",786.0122699386503
348,"Humboldt, Nevada",0.0
349,"Hunterdon, New Jersey",5009.79797979798
350,"Huntingdon, Pennsylvania",1939.46
351,"Huron, Michigan",2000.0
352,"Imperial, California",3015.9574468085107
353,"Indiana, Pennsylvania",1931.023498694517
354,"Ingham, Michigan",1610.0
355,"Inyo, California",310.0
356,"Iosco, Michigan",1472.0833333333333
357,"Iredell, North Carolina",1316.5716599190284
358,"Isabella, Michigan",1669.4444444444443
359,"Isanti, Minnesota",0.0
360,"Isle of wight, Virginia",0.0
361,"Jackson, Alabama",2350.3508771929824
362,"Jackson, Illinois",3871.9235294117643
363,"Jackson, Kentucky",2200.347222222222
364,"Jackson, Michigan",1131.4285714285713
365,"Jackson, North Carolina",638.8461538461538
366,"Jackson, Ohio",1870.212765957447
367,"Jackson, Oklahoma",4187.708333333333
368,"Jackson, West Virginia",3880.3521126760565
369,"James (city), Virginia",2744.733333333333
370,"Jasper, Illinois",2933.3333333333335
371,"Jefferson county, Pennsylvania",745.2941176470588
372,"Jefferson, Alabama",2336.1820652173915
373,"Jefferson, Kentucky",2067.4583333333335
374,"Jefferson, Montana",3500.0
375,"Jefferson, New York",2757.8947368421054
376,"Jefferson, Pennsylvania",1196.2862903225807
377,"Jefferson, West Virginia",2398.8274336283184
378,"Jennings, Indiana",3644.285714285714
379,"Jessamine, Kentucky",2429.872427983539
380,"Johnson, Illinois",3995.884154929578
381,"Johnson, Iowa",2389.7610921501705
382,"Johnson, Kentucky",1948.9473684210527
383,"Johnson, Wyoming",1208.2272727272727
384,"Johnston, North Carolina",3999.37908496732
385,"Johnston, Oklahoma",1724.758865248227
386,"Juneau, Alaska",501.54347826086956
387,"Juniata, Pennsylvania",1363.9888888888888
388,"Kanawha, West Virginia",1545.0271084337348
389,"Kane, Illinois",4616.215277777777
390,"Kankakee, Illinois",3420.6546075085325
391,"Kay, Oklahoma",2308.052777777778
392,"Kenai peninsula, Alaska",554.5833333333334
393,"Kennebec, Maine",2666.6666666666665
394,"Kenton, Kentucky",2754.949716312057
395,"Kern, California",2076.123802505527
396,"Kershaw, South Carolina",3446.1267605633802
397,"Ketchikan gateway, Alaska",239.0
398,"Kings, California",2524.816326530612
399,"Kiowa, Oklahoma",5810.788194444444
400,"Knott, Kentucky",1819.5714285714287
401,"Knox, Kentucky",1800.2629757785467
402,"Kodiak island, Alaska",0.0
403,"Koochiching, Minnesota",6161.379310344828
404,"La plata, Colorado",1662.8984745762714
405,"La porte, Indiana",1772.0588235294117
406,"Lake, California",2998.766666666667
407,"Lake, Illinois",1738.1236486486487
408,"Lake, Indiana",1652.7155172413793
409,"Lake, Minnesota",1386.764705882353
410,"Lake, Montana",685.8490566037735
411,"Lamoille, Vermont",0.0
412,"Lancaster county, Pennsylvania",1843.0
413,"Lancaster, Pennsylvania",2141.830985915493
414,"Lancaster, South Carolina",2655.862068965517
415,"Lander, Nevada",0.0
416,"Laramie, Wyoming",3802.562482758621
417,"Larue, Kentucky",2793.3333333333335
418,"Lasalle, Illinois",2813.774834437086
419,"Latimer, Oklahoma",4111.166666666667
420,"Lauderdale, Alabama",1821.5277777777778
421,"Laurel, Kentucky",2743.650519031142
422,"Laurens, South Carolina",2340.926736111111
423,"Lawrence, Alabama",2584.246575342466
424,"Lawrence, Indiana",2949.7916666666665
425,"Lawrence, Kentucky",2083.6486486486488
426,"Lawrence, Pennsylvania",3300.8035714285716
427,"Le flore, Oklahoma",4466.716783216783
428,"Lebanon county, Pennsylvania",171.73076923076923
429,"Lebanon, Pennsylvania",1663.4848484848485
430,"Lee, Alabama",2478.2894736842104
431,"Lee, Iowa",4614.453125
432,"Lee, Kentucky",2002.4666666666667
433,"Lee, North Carolina",5136.9395017793595
434,"Lee, Virginia",933.4507042253521
435,"Lehigh, Pennsylvania",557.7272727272727
436,"Lenawee, Michigan",4505.9375
437,"Lenoir, North Carolina",5201.875
438,"Leslie, Kentucky",1644.150684931507
439,"Letcher, Kentucky",1904.2288135593221
440,"Lewis and clark, Montana",2387.330097087379
441,"Lewis, New York",3109.135714285714
442,"Lewis, West Virginia",3298.4888059701493
443,"Lexington county, South Carolina",2845.8333333333335
444,"Lexington, South Carolina",2786.25
445,"Liberty, Montana",2561.3333333333335
446,"Limestone, Alabama",2031.5770609318997
447,"Lincoln, Kentucky",3021.0714285714284
448,"Lincoln, Maine",2700.0
449,"Lincoln, Montana",1345.4263565891472
450,"Lincoln, Nevada",0.0
451,"Lincoln, North Carolina",1304.4416243654823
452,"Lincoln, Oklahoma",5913.829225352113
453,"Lincoln, West Virginia",1774.9662162162163
454,"Lincoln, Wyoming",2644.137931034483
455,"Linn, Iowa",1736.736111111111
456,"Litchfield, Connecticut",0.0
457,"Livingston county, New York",3539.855072463768
458,"Livingston, Illinois",2889.72602739726
459,"Livingston, Kentucky",2254.027777777778
460,"Livingston, New York",1527.0718232044198
461,"Logan, Oklahoma",5194.5
462,"Logan, West Virginia",1515.3842443729905
463,"Los angeles, California",1699.6697108066971
464,"Loudoun, Virginia",2225.8275862068967
465,"Louisa, Virginia",4742.0759493670885
466,"Lucas, Iowa",5701.729166666667
467,"Lunenburg, Virginia",3662.842105263158
468,"Luzerne county, Pennsylvania",1746.619718309859
469,"Luzerne, Pennsylvania",1848.7614678899083
470,"Lycoming county, Pennsylvania",752.5833333333334
471,"Lycoming, Pennsylvania",399.9159663865546
472,"Lynchburg, Virginia",1574.2708333333333
473,"Lyon, Kentucky",2233.948955916473
474,"Lyon, Nevada",112.06896551724138
475,"Macomb, Michigan",2286.190476190476
476,"Macon, Alabama",2171.6197183098593
477,"Macon, Illinois",2331.304347826087
478,"Macon, North Carolina",1028.1811224489795
479,"Macoupin, Illinois",5141.585794813979
480,"Madera, California",2115.675675675676
481,"Madison, Alabama",1429.9221556886228
482,"Madison, Illinois",4466.9100169779285
483,"Madison, Indiana",1027.4074074074074
484,"Madison, Iowa",4370.138888888889
485,"Madison, Kentucky",2599.620853080569
486,"Madison, North Carolina",1160.1136363636363
487,"Madison, Virginia",938.9583333333334
488,"Magoffin, Kentucky",2470.902777777778
489,"Mahaska, Iowa",1934.7222222222222
490,"Mahoning, Ohio",3534.0
491,"Manassas, Virginia",2715.5042016806724
492,"Marin, California",2218.8675721561967
493,"Marion, Alabama",2067.3824130879348
494,"Marion, Illinois",4840.728348214286
495,"Marion, Indiana",3051.583850931677
496,"Marion, Iowa",1758.4
497,"Marion, Kentucky",2573.4246575342468
498,"Marion, West Virginia",2746.551724137931
499,"Mariposa, California",2552.5833333333335
500,"Marlboro, South Carolina",6144.285714285715
501,"Marshall, Alabama",2606.108527131783
502,"Marshall, Oklahoma",4753.995454545455
503,"Marshall, West Virginia",2944.4202898550725
504,"Martin, Florida",2400.0
505,"Martin, Indiana",2505.9701492537315
506,"Martin, Kentucky",1956.9444444444443
507,"Martin, Minnesota",4597.916666666667
508,"Martinsville, Virginia",2394.527027027027
509,"Mason, Kentucky",2341.9718309859154
510,"Matanuska-susitna, Alaska",177.4
511,"Mayes, Oklahoma",3270.249190938511
512,"Mccormick, South Carolina",2636.3636363636365
513,"Mccracken, Kentucky",2361.9421487603304
514,"Mccreary, Kentucky",2091.262237762238
515,"Mccurtain, Oklahoma",2906.4663212435235
516,"Mcdonough, Illinois",3733.862068965517
517,"Mcdowell, North Carolina",946.7391304347826
518,"Mcdowell, West Virginia",1324.2857142857142
519,"Mcintosh, Oklahoma",5032.699652777777
520,"Mckean, Pennsylvania",1178.7894736842106
521,"Mclean, Illinois",2800.277777777778
522,"Mclean, Kentucky",2859.090909090909
523,"Mclean, North Dakota",2593.4883720930234
524,"Mecklenburg, North Carolina",1165.6196682464456
525,"Mecklenburg, Virginia",2511.527777777778
526,"Mendocino, California",2152.0949367088606
527,"Menifee, Kentucky",2214.8255813953488
528,"Menominee, Michigan",1945.0
529,"Merced, California",2601.121718377088
530,"Mercer county, Pennsylvania",3534.0625
531,"Mercer, Kentucky",2458.2876712328766
532,"Mercer, New Jersey",3019.8329355608594
533,"Mercer, North Dakota",2294.7960396039603
534,"Mercer, Pennsylvania",3753.6301369863013
535,"Mercer, West Virginia",2487.034965034965
536,"Middlesex, Connecticut",0.0
537,"Middlesex, New Jersey",2407.115009746589
538,"Midland, Michigan",1570.0
539,"Mifflin county, Pennsylvania",1983.076923076923
540,"Mifflin, Pennsylvania",753.1914893617021
541,"Mineral, Nevada",76.08695652173913
542,"Mineral, West Virginia",1871.174438687392
543,"Mingo, West Virginia",1701.7798913043478
544,"Missoula, Montana",3938.157894736842
545,"Mitchell, North Carolina",509.375
546,"Mobile, Alabama",3348.566552901024
547,"Mohave, Arizona",0.0
548,"Monmouth, New Jersey",2738.0733944954127
549,"Monongalia, West Virginia",1992.8211920529802
550,"Monroe, Indiana",2868.582089552239
551,"Monroe, Kentucky",2203.75
552,"Monroe, Michigan",2150.759493670886
553,"Monroe, New York",2300.0
554,"Monroe, Pennsylvania",1738.0900900900901
555,"Monroe, West Virginia",579.7912087912088
556,"Monterey, California",451.05263157894734
557,"Montgomery, Alabama",1902.5742574257426
558,"Montgomery, Illinois",4497.103448275862
559,"Montgomery, Kentucky",3472.6315789473683
560,"Montgomery, North Carolina",2295.1789115646257
561,"Montgomery, Pennsylvania",2265.746201966041
562,"Montgomery, Virginia",1522.4
563,"Montour county, Pennsylvania",2416.6666666666665
564,"Montour, Pennsylvania",2128.0392156862745
565,"Moore, North Carolina",4235.0
566,"Morgan, Alabama",1977.5347222222222
567,"Morgan, Illinois",3613.6363636363635
568,"Morgan, Kentucky",2095.6666666666665
569,"Morgan, West Virginia",3594.972067039106
570,"Morris, New Jersey",2966.2328767123286
571,"Morton, North Dakota",2700.0
572,"Mountrail, North Dakota",3072.0689655172414
573,"Muhlenberg, Kentucky",3106.6666666666665
574,"Murray, Oklahoma",3686.1356589147285
575,"Muskogee, Oklahoma",3828.8234660925727
576,"Musselshell, Montana",4486.111111111111
577,"Napa, California",3179.900105152471
578,"Nash, North Carolina",4761.429411764706
579,"Natrona, Wyoming",3787.4161572052403
580,"Nelson, Kentucky",3149.43661971831
581,"Nelson, Virginia",1234.9056603773586
582,"Nevada, California",914.3589743589744
583,"New hanover, North Carolina",4586.069059011164
584,"Newberry, South Carolina",2579.6736596736596
585,"Newport news, Virginia",4871.7317487266555
586,"Niagara, New York",2062.2540250447228
587,"Nicholas, Kentucky",2896.7905405405404
588,"Nicholas, West Virginia",1350.1342281879195
589,"Noble, Oklahoma",3976.9555555555557
590,"Nome, Alaska",312.72727272727275
591,"Norfolk, Virginia",0.0
592,"North slope borough, Alaska",0.0
593,"North slope, Alaska",2082.4670666666666
594,"Northampton, Pennsylvania",1390.15
595,"Northumberland, Pennsylvania",1991.146572104019
596,"Northwest arctic, Alaska",7628.611111111111
597,"Norton, Virginia",852.4489795918367
598,"Nottoway, Virginia",4021.4930555555557
599,"Nowata, Oklahoma",4214.941441441441
600,"Nye, Nevada",0.0
601,"Ocean, New Jersey",3115.6644034917554
602,"Oconee, South Carolina",1077.6279069767443
603,"Ohio, Kentucky",2502.2
604,"Ohio, West Virginia",2433.3812949640287
605,"Okeechobee, Florida",19200.0
606,"Okfuskee, Oklahoma",5403.806228373703
607,"Oklahoma, Oklahoma",4213.397037744864
608,"Okmulgee, Oklahoma",4851.967741935484
609,"Oneida, New York",0.0
610,"Onondaga, New York",2315.2944444444447
611,"Ontario, New York",2596.951219512195
612,"Orange, California",848.8074150360453
613,"Orange, Indiana",1776.7241379310344
614,"Orange, North Carolina",4213.337004405286
615,"Orange, Vermont",0.0
616,"Orange, Virginia",1575.6993006993007
617,"Orangeburg, South Carolina",3892.1238938053098
618,"Orleans, Vermont",0.0
619,"Osage, Oklahoma",4283.151376146789
620,"Oswego, New York",2022.6201612903226
621,"Ottawa, Michigan",1899.3333333333333
622,"Ottawa, Oklahoma",3286.3194444444443
623,"Otter tail, Minnesota",3922.222222222222
624,"Owen, Kentucky",3543.5915492957747
625,"Owsley, Kentucky",1607.8591549295775
626,"Oxford, Maine",2740.0
627,"Page, Iowa",3027.847222222222
628,"Palm beach, Florida",11003.333333333334
629,"Park, Wyoming",1435.4166666666667
630,"Parke, Indiana",4490.0
631,"Passaic, New Jersey",3049.1268758526603
632,"Patrick, Virginia",638.0392156862745
633,"Pawnee, Oklahoma",5406.580419580419
634,"Payne, Oklahoma",3815.932584269663
635,"Pembina, North Dakota",8925.410958904109
636,"Pendleton, Kentucky",3242.9861111111113
637,"Pendleton, West Virginia",2201.6336405529955
638,"Pennington, Minnesota",9061.111111111111
639,"Penobscot, Maine",4750.0
640,"Peoria, Illinois",3958.1944444444443
641,"Perry, Illinois",5386.111111111111
642,"Perry, Kentucky",2040.513888888889
643,"Perry, Ohio",2200.0
644,"Pershing, Nevada",0.0
645,"Person, North Carolina",3129.7297297297296
646,"Petersburg, Alaska",3114.672727272727
