,county,fluoride
266,"Burleigh, North Dakota",325.0
267,"Burleson, Texas",542.6829268292682
268,"Burlington, New Jersey",99.41841680129241
269,"Burnet, Texas",435.625
270,"Burnett, Wisconsin",492.1451104100946
271,"Burt, Nebraska",474.0
272,"Butler county, Pennsylvania",360.0
273,"Butler, Alabama",582.0689655172414
274,"Butler, Iowa",200.0
275,"Butler, Kansas",286.25
276,"Butler, Missouri",83.70370370370371
277,"Butler, Nebraska",353.1578947368421
278,"Butler, Ohio",274.375
279,"Butler, Pennsylvania",492.962962962963
280,"Butte, California",175.13846153846154
281,"Butte, Idaho",141.8181818181818
282,"Butte, South Dakota",784.2857142857143
283,"Cabarrus, North Carolina",161.23893805309734
284,"Cabell, West Virginia",290.0
285,"Cache, Utah",101.0989010989011
286,"Caddo parish, Louisiana",166.66666666666666
287,"Caddo, Louisiana",147.56756756756758
288,"Caddo, Oklahoma",12.272727272727273
289,"Calaveras, California",78.17647058823529
290,"Calcasieu, Louisiana",138.50515463917526
291,"Caldwell, Louisiana",222.8
292,"Caldwell, Missouri",222.10526315789474
293,"Caldwell, North Carolina",254.73684210526315
294,"Caldwell, Texas",399.0625
295,"Caledonia, Vermont",245.9090909090909
296,"Calhoun, Alabama",249.0909090909091
297,"Calhoun, Arkansas",76.15384615384616
298,"Calhoun, Florida",427.4074074074074
299,"Calhoun, Illinois",331.6666666666667
300,"Calhoun, Iowa",1147.4074074074074
301,"Calhoun, Michigan",107.0754716981132
302,"Calhoun, South Carolina",9.090909090909092
303,"Calhoun, Texas",904.9122807017544
304,"Calhoun, West Virginia",188.0
305,"Callahan, Texas",213.33333333333334
306,"Callaway, Missouri",772.4489795918367
307,"Calloway, Kentucky",111.07142857142857
308,"Calumet, Wisconsin",487.1951219512195
309,"Calvert, Maryland",101.25
310,"Camas, Idaho",270.0
311,"Cambria county, Pennsylvania",0.0
312,"Cambria, Pennsylvania",110.0
313,"Camden, Missouri",220.13452914798205
314,"Camden, New Jersey",145.84229390681003
315,"Camden, North Carolina",125.0
316,"Cameron, Louisiana",138.46153846153845
317,"Cameron, Pennsylvania",0.0
318,"Cameron, Texas",363.030303030303
319,"Camp, Texas",201.61290322580646
320,"Campbell, Kentucky",132.85714285714286
321,"Campbell, Tennessee",275.0
322,"Campbell, Virginia",67.25
323,"Campbell, Wyoming",1596.3963963963963
324,"Canadian, Oklahoma",172.5
325,"Canyon, Idaho",565.8536585365854
326,"Cape girardeau, Missouri",221.06382978723406
327,"Cape may, New Jersey",51.91126279863481
328,"Carbon county, Pennsylvania",0.0
329,"Carbon, Montana",268.2608695652174
330,"Carbon, Pennsylvania",19.393939393939394
331,"Carbon, Utah",137.14285714285714
332,"Carbon, Wyoming",279.4117647058824
333,"Caribou, Idaho",23.46153846153846
334,"Carlisle, Kentucky",984.1666666666666
335,"Carlton, Minnesota",1188.5714285714287
336,"Caroline, Maryland",436.6666666666667
337,"Caroline, Virginia",213.46153846153845
338,"Carroll, Arkansas",110.0
339,"Carroll, Illinois",449.09090909090907
340,"Carroll, Indiana",843.8461538461538
341,"Carroll, Iowa",650.0
342,"Carroll, Maryland",101.81818181818181
343,"Carroll, Missouri",250.0
344,"Carroll, New Hampshire",2101.4845360824743
345,"Carroll, Ohio",374.390243902439
346,"Carroll, Tennessee",0.0
347,"Carroll, Virginia",2.891566265060241
348,"Carson city, Nevada",1137.9831932773109
349,"Carson, Texas",1016.25
350,"Carter, Kentucky",1590.0
351,"Carter, Missouri",17.272727272727273
352,"Carter, Montana",170.0
353,"Carter, Oklahoma",421.0
354,"Carter, Tennessee",0.0
355,"Carteret, North Carolina",240.25641025641025
356,"Carver, Minnesota",1219.2682926829268
357,"Cascade, Montana",984.0983606557377
358,"Cass, Illinois",760.0
359,"Cass, Indiana",826.0
360,"Cass, Iowa",651.6666666666666
361,"Cass, Michigan",185.98039215686273
362,"Cass, Minnesota",871.7105263157895
363,"Cass, Missouri",241.53846153846155
364,"Cass, Nebraska",1259.0123456790122
365,"Cass, North Dakota",1015.9090909090909
366,"Cass, Texas",343.42857142857144
367,"Cassia, Idaho",272.22222222222223
368,"Castro, Texas",1962.0
369,"Caswell, North Carolina",242.14285714285714
370,"Catahoula, Louisiana",246.875
371,"Catawba, North Carolina",195.2863436123348
372,"Catron, New Mexico",547.1428571428571
373,"Cattaraugus, New York",199.23664122137404
374,"Cavalier, North Dakota",1390.0
375,"Cayuga county, New York",53.333333333333336
376,"Cayuga, New York",237.32394366197184
377,"Cecil, Maryland",50.0
378,"Cedar, Iowa",569.1666666666666
379,"Cedar, Missouri",327.14285714285717
380,"Cedar, Nebraska",1096.857142857143
381,"Centre county, Pennsylvania",121.66666666666667
382,"Centre, Pennsylvania",74.25531914893617
383,"Cerro gordo, Iowa",1995.8333333333333
384,"Chambers, Alabama",173.33333333333334
385,"Chambers, Texas",2076.271186440678
386,"Champaign, Illinois",524.6666666666666
387,"Champaign, Ohio",950.3448275862069
388,"Chariton, Missouri",1098.3783783783783
389,"Charles city, Virginia",966.2962962962963
390,"Charles mix, South Dakota",100.0
391,"Charles, Maryland",657.3333333333334
392,"Charleston county, South Carolina",983.3333333333334
393,"Charleston, South Carolina",1865.1041666666667
394,"Charlevoix, Michigan",888.5
395,"Charlotte, Florida",202.17391304347825
396,"Charlotte, Virginia",36.666666666666664
397,"Chase, Kansas",201.8181818181818
398,"Chase, Nebraska",756.6666666666666
399,"Chatham, North Carolina",420.8695652173913
400,"Chautauqua, Kansas",53.63636363636363
401,"Chautauqua, New York",95.58441558441558
402,"Chaves, New Mexico",731.6666666666666
403,"Cheatham, Tennessee",550.0
404,"Cheboygan, Michigan",921.7021276595744
405,"Chelan, Washington",144.31372549019608
406,"Chemung, New York",136.23376623376623
407,"Chenango, New York",49.14728682170543
408,"Cherokee, Alabama",0.0
409,"Cherokee, Iowa",353.3333333333333
410,"Cherokee, Kansas",502.1875
411,"Cherokee, North Carolina",35.55555555555556
412,"Cherokee, Oklahoma",3104.8571428571427
413,"Cherokee, South Carolina",25.555555555555557
414,"Cherokee, Texas",528.7096774193549
415,"Cherry, Nebraska",315.8333333333333
416,"Chesapeake city, Virginia",67.5
417,"Chesapeake, Virginia",3867.2916666666665
418,"Cheshire, New Hampshire",568.5925925925926
419,"Chester county, Pennsylvania",66.25
420,"Chester, Pennsylvania",36.73267326732673
421,"Chester, South Carolina",447.5
422,"Chesterfield, South Carolina",157.42857142857142
423,"Chesterfield, Virginia",185.9090909090909
424,"Cheyenne, Kansas",1716.6666666666667
425,"Cheyenne, Nebraska",625.9090909090909
426,"Chickasaw, Iowa",1163.8461538461538
427,"Chicot, Arkansas",361.42857142857144
428,"Chilton, Alabama",258.0
429,"Chippewa, Michigan",457.72727272727275
430,"Chippewa, Minnesota",1270.5454545454545
431,"Chippewa, Wisconsin",523.7005649717514
432,"Chisago, Minnesota",1115.1612903225807
433,"Chittenden, Vermont",410.0
434,"Choctaw, Alabama",493.3333333333333
435,"Choctaw, Oklahoma",133.07692307692307
436,"Chouteau, Montana",712.8571428571429
437,"Chowan, North Carolina",413.3333333333333
438,"Christian, Illinois",380.0
439,"Christian, Missouri",133.73737373737373
440,"Churchill, Nevada",380.3225806451613
441,"Cibola, New Mexico",633.4782608695652
442,"Cimarron, Oklahoma",1386.6666666666667
443,"Citrus county, Florida",160.0
444,"Citrus, Florida",114.65201465201466
445,"Clackamas, Oregon",88.50649350649351
446,"Claiborne, Louisiana",110.0
447,"Claiborne, Tennessee",216.66666666666666
448,"Clallam, Washington",34.11764705882353
449,"Clare, Michigan",323.84615384615387
450,"Clarendon, South Carolina",255.0793650793651
451,"Clarion, Pennsylvania",0.0
452,"Clark county, Nevada",1480.0
453,"Clark, Arkansas",56.92307692307692
454,"Clark, Idaho",255.0
455,"Clark, Illinois",463.3333333333333
456,"Clark, Indiana",649.0
457,"Clark, Kansas",390.27027027027026
458,"Clark, Missouri",100.0
459,"Clark, Nevada",505.22633744855966
460,"Clark, Ohio",572.2330097087379
461,"Clark, South Dakota",3125.0
462,"Clark, Washington",166.95501730103805
463,"Clark, Wisconsin",542.6780626780627
464,"Clarke, Alabama",73.18181818181819
465,"Clarke, Virginia",263.46153846153845
466,"Clatsop, Oregon",17.0
467,"Clay, Alabama",243.33333333333334
468,"Clay, Arkansas",706.8181818181819
469,"Clay, Florida",284.6099290780142
470,"Clay, Indiana",315.0
471,"Clay, Iowa",400.0
472,"Clay, Kansas",244.7826086956522
473,"Clay, Minnesota",1153.370786516854
474,"Clay, Missouri",816.8181818181819
475,"Clay, Nebraska",328.84615384615387
476,"Clay, North Carolina",140.0
477,"Clay, Texas",715.8333333333334
478,"Clay, West Virginia",416.25
479,"Clayton, Iowa",476.04651162790697
480,"Clearfield county, Pennsylvania",235.0
481,"Clearfield, Pennsylvania",181.11111111111111
482,"Clearwater, Idaho",173.75
483,"Clearwater, Minnesota",0.0
484,"Cleburne, Alabama",517.1428571428571
485,"Cleburne, Arkansas",374.2857142857143
486,"Clermont, Ohio",90.0
487,"Cleveland, Arkansas",0.0
488,"Cleveland, North Carolina",260.6896551724138
489,"Cleveland, Oklahoma",184.88372093023256
490,"Clinton, Illinois",980.0
491,"Clinton, Indiana",863.6363636363636
492,"Clinton, Iowa",363.0
493,"Clinton, Michigan",367.12418300653593
494,"Clinton, New York",112.18181818181819
495,"Clinton, Ohio",246.0
496,"Clinton, Pennsylvania",37.27272727272727
497,"Cloud, Kansas",286.1290322580645
498,"Coal, Oklahoma",755.0
499,"Cochise, Arizona",636.1038961038961
500,"Cochran, Texas",3396.935483870968
501,"Coconino, Arizona",170.9
502,"Codington, South Dakota",200.0
503,"Coffee, Alabama",103.97058823529412
504,"Coffee, Tennessee",104.0
505,"Coffey, Kansas",204.0909090909091
506,"Coke, Texas",767.1428571428571
507,"Colbert, Alabama",266.5217391304348
508,"Cole, Missouri",325.3333333333333
509,"Coleman, Texas",281.6666666666667
510,"Coles, Illinois",535.0
511,"Colfax, Nebraska",302.0
512,"Colfax, New Mexico",811.2121212121212
513,"Colleton, South Carolina",2007.5454545454545
514,"Collier, Florida",209.71830985915494
515,"Collin, Texas",1244.7368421052631
516,"Collingsworth, Texas",406.6666666666667
517,"Colorado, Texas",334.6341463414634
518,"Columbia county, Pennsylvania",0.0
519,"Columbia, Arkansas",159.36170212765958
520,"Columbia, Florida",185.5421686746988
521,"Columbia, New York",39.724137931034484
522,"Columbia, Oregon",17.0
523,"Columbia, Pennsylvania",70.0
524,"Columbia, Washington",180.0
525,"Columbia, Wisconsin",539.8259608411893
526,"Columbiana, Ohio",228.66666666666666
527,"Columbus county, North Carolina",100.0
528,"Columbus, North Carolina",440.13157894736844
529,"Colusa, California",157.02702702702703
530,"Comal, Texas",812.2471910112359
531,"Comanche, Kansas",456.6666666666667
532,"Comanche, Oklahoma",1555.25
533,"Comanche, Texas",450.0
534,"Concho, Texas",1175.0
535,"Concordia, Louisiana",605.1851851851852
536,"Conecuh, Alabama",137.77777777777777
537,"Contra costa, California",134.18543046357615
538,"Converse, Wyoming",425.8974358974359
539,"Conway, Arkansas",649.156626506024
540,"Cook, Illinois",1116.6216216216217
541,"Cook, Minnesota",1057.5
542,"Cooke, Texas",237.14285714285714
543,"Cooper, Missouri",997.3913043478261
544,"Coos, New Hampshire",407.0
545,"Coos, Oregon",11.875
546,"Coosa, Alabama",0.0
547,"Corson, South Dakota",1087.5
548,"Cortland, New York",38.1578947368421
549,"Coryell, Texas",892.6086956521739
550,"Coshocton, Ohio",438.72727272727275
551,"Cottle, Texas",525.0
552,"Cotton, Oklahoma",578.8888888888889
553,"Cottonwood county, Minnesota",1370.0
554,"Cottonwood, Minnesota",1025.0
555,"Covington, Alabama",331.8181818181818
556,"Cowley, Kansas",247.1875
557,"Cowlitz, Washington",85.96774193548387
558,"Craig, Oklahoma",1052.0
559,"Craig, Virginia",0.0
560,"Craighead, Arkansas",180.73170731707316
561,"Crane, Texas",900.0
562,"Craven, North Carolina",635.0
563,"Crawford county, Pennsylvania",240.0
564,"Crawford, Arkansas",0.0
565,"Crawford, Illinois",356.6666666666667
566,"Crawford, Indiana",55.0
567,"Crawford, Iowa",316.6666666666667
568,"Crawford, Kansas",551.5625
569,"Crawford, Michigan",19.80392156862745
570,"Crawford, Missouri",214.8
571,"Crawford, Ohio",720.4761904761905
572,"Crawford, Pennsylvania",172.85714285714286
573,"Crawford, Wisconsin",493.5057471264368
574,"Creek, Oklahoma",74.70588235294117
575,"Crenshaw, Alabama",494.85714285714283
576,"Crittenden, Arkansas",49.696969696969695
577,"Crockett, Tennessee",154.44444444444446
578,"Crockett, Texas",902.5
579,"Crook, Oregon",503.5897435897436
580,"Crook, Wyoming",835.4545454545455
581,"Crosby, Texas",2449.5652173913045
582,"Cross, Arkansas",107.5
583,"Crow wing, Minnesota",708.1443298969073
584,"Culberson, Texas",1796.25
585,"Cullman, Alabama",0.0
586,"Culpeper, Virginia",147.83783783783784
587,"Cumberland, Illinois",722.5
588,"Cumberland, Maine",824.5964912280701
589,"Cumberland, New Jersey",56.97329376854599
590,"Cumberland, North Carolina",146.18279569892474
591,"Cumberland, Pennsylvania",91.42857142857143
592,"Cumberland, Virginia",263.52941176470586
593,"Cuming, Nebraska",727.5
594,"Currituck, North Carolina",48.421052631578945
595,"Curry, New Mexico",1959.2553191489362
596,"Curry, Oregon",52.5
597,"Custer, Idaho",253.0
598,"Custer, Montana",2140.0
599,"Custer, Nebraska",236.42857142857142
600,"Custer, Oklahoma",187.85714285714286
601,"Custer, South Dakota",475.0
602,"Cuyahoga, Ohio",262.94117647058823
603,"Dade, Florida",292.22222222222223
604,"Dade, Missouri",199.33333333333334
605,"Daggett, Utah",123.80952380952381
606,"Dakota, Minnesota",1310.5681818181818
607,"Dakota, Nebraska",619.4117647058823
608,"Dale, Alabama",425.0
609,"Dallam, Texas",1460.0
610,"Dallas, Alabama",129.2
611,"Dallas, Arkansas",140.0
612,"Dallas, Iowa",583.75
613,"Dallas, Missouri",871.8367346938776
614,"Dallas, Texas",1012.5
615,"Dane, Wisconsin",537.2495398369708
616,"Daniels, Montana",1145.657894736842
617,"Dare, North Carolina",138.0
618,"Darke, Ohio",647.5
619,"Darlington, South Carolina",699.0909090909091
620,"Dauphin county, Pennsylvania",0.0
621,"Dauphin, Pennsylvania",116.0377358490566
622,"Davidson, North Carolina",637.2727272727273
623,"Davie, North Carolina",709.5
624,"Daviess, Indiana",1010.0
625,"Daviess, Kentucky",160.0
626,"Daviess, Missouri",86.0
627,"Davis, Utah",140.19607843137254
628,"Dawes, Nebraska",401.6666666666667
629,"Dawson, Montana",711.5384615384615
630,"Dawson, Nebraska",442.2
631,"Dawson, Texas",3508.936170212766
632,"De baca, New Mexico",2190.0
633,"De kalb, Indiana",976.25
634,"De kalb, Missouri",595.0
635,"De soto, Florida",483.3333333333333
636,"De soto, Louisiana",359.8550724637681
637,"De witt, Illinois",790.7142857142857
638,"Deaf smith, Texas",2653.1428571428573
639,"Dearborn, Indiana",645.0
640,"Decatur, Indiana",386.0
641,"Decatur, Kansas",494.54545454545456
642,"Decatur, Tennessee",630.0
643,"Deer lodge, Montana",267.5
644,"Defiance, Ohio",1280.0
645,"Dekalb, Alabama",84.28571428571429
646,"Dekalb, Illinois",738.8888888888889
647,"Dekalb, Indiana",1004.1176470588235
648,"Dekalb, Missouri",135.0
649,"Del norte county, California",0.0
650,"Del norte, California",0.0
651,"Delaware, Indiana",650.8695652173913
652,"Delaware, Iowa",400.5660377358491
653,"Delaware, New York",72.88659793814433
654,"Delaware, Ohio",155.0
655,"Delaware, Oklahoma",1396.25
656,"Delaware, Pennsylvania",25.384615384615383
657,"Delta, Michigan",632.0
658,"Delta, Texas",1514.2857142857142
659,"Denali, Alaska",0.0
660,"Dent, Missouri",17.2
661,"Denton, Texas",622.442996742671
662,"Des moines, Iowa",400.0
663,"Deschutes, Oregon",211.14285714285714
664,"Desha, Arkansas",229.6551724137931
665,"Desoto, Florida",1471.4893617021276
666,"Deuel, Nebraska",574.0
667,"Dewey, Oklahoma",75.0
668,"Dewey, South Dakota",275.0
669,"Dewitt, Texas",601.6666666666666
670,"Dickens, Texas",1656.0
671,"Dickenson, Virginia",73.33333333333333
672,"Dickey, North Dakota",98.57142857142857
673,"Dickinson, Iowa",554.0
674,"Dickinson, Kansas",619.125
675,"Dickinson, Michigan",14.035087719298245
676,"Dickson, Tennessee",0.0
677,"Dillingham, Alaska",90.0
678,"Dillon, South Carolina",576.4864864864865
679,"Dimmit, Texas",456.6666666666667
680,"Dinwiddie, Virginia",134.1860465116279
681,"District of columbia, District of Columbia",912.5
682,"Divide, North Dakota",3190.0
683,"Dixie, Florida",79.41176470588235
684,"Dixon, Nebraska",1014.7457627118644
685,"Dodge, Minnesota",1260.0
686,"Dodge, Nebraska",612.7027027027027
687,"Dodge, Wisconsin",531.3717693836978
688,"Dona ana, New Mexico",827.6628352490421
689,"Doniphan, Kansas",325.55555555555554
690,"Donley, Texas",997.5
691,"Door, Wisconsin",544.7457627118644
692,"Dorchester, Maryland",1460.0
693,"Dorchester, South Carolina",1365.6382978723404
