,county,chlorite
0,"Adair, Missouri",239.13023255813954
1,"Adair, Oklahoma",134.86052631578946
2,"Adams, Iowa",101.78504672897196
3,"Alameda, California",0.0
4,"Allen, Kansas",325.22502222222226
5,"Anderson, Kansas",399.4533333333333
6,"Anson, North Carolina",0.0
7,"Appanoose, Iowa",419.57142857142856
8,"Atoka, Oklahoma",563.9803921568628
9,"Barton, Missouri",282.412037037037
10,"Bay, Michigan",0.0
11,"Benton county, Arkansas",17.3625
12,"Boise, Idaho",0.0
13,"Bond, Illinois",198.66666666666666
14,"Bristol, Rhode Island",228.29166666666666
15,"Bryan, Oklahoma",434.80677083333336
16,"Caldwell, Missouri",429.41263940520446
17,"Carbon, Wyoming",416.6666666666667
18,"Carter, Oklahoma",498.44444444444446
19,"Cass, Missouri",493.19444444444446
20,"Cedar, Nebraska",346.8787878787879
21,"Centre, Pennsylvania",0.0
22,"Chautauqua, Kansas",214.76685185185184
23,"Chilton, Alabama",327.33444444444444
24,"Chippewa, Michigan",0.0
25,"Choctaw, Oklahoma",595.5173333333333
26,"Clarke, Iowa",800.2469135802469
27,"Clatsop, Oregon",0.0
28,"Clay, Missouri",490.6511627906977
29,"Clinton, Missouri",436.95348837209303
30,"Clinton, New York",0.0
31,"Coconino, Arizona",42.339622641509436
32,"Colbert, Alabama",442.10769230769233
33,"Colfax, New Mexico",263.2739758064516
34,"Colonial heights city, Virginia",230.90277777777777
35,"Columbia, Arkansas",319.00370370370376
36,"Comanche, Oklahoma",0.0
37,"Cooper, Missouri",150.16666666666666
38,"Cotton, Oklahoma",473.0
39,"Crawford, Kansas",445.98276623376626
40,"Creek, Oklahoma",246.4139534883721
41,"Cullman, Alabama",568.6060606060606
42,"Custer, Oklahoma",275.85583756345176
43,"Cuyahoga, Ohio",118.24137931034483
44,"Decatur, Iowa",588.6948356807512
45,"Dekalb, Missouri",218.80841121495328
46,"Dickinson, Iowa",4.722222222222222
47,"Dinwiddie, Virginia",143.80416666666667
48,"Dutchess, New York",0.0
49,"Ellsworth, Kansas",306.2741025641026
50,"Elmore, Alabama",268.1111111111111
51,"Elmore, Idaho",0.0
52,"Fayette, Pennsylvania",476.220447284345
53,"Ford, Kansas",140.96527777777777
54,"Franklin, Illinois",627.7333333333333
55,"Gentry, Missouri",340.65429234338745
56,"Greensville, Virginia",230.67777777777778
57,"Harnett, North Carolina",342.48333333333335
58,"Harrison, Missouri",445.6279069767442
59,"Hempstead, Arkansas",74.98831168831168
60,"Henderson, Kentucky",219.1925754060325
61,"Henrico, Virginia",3.5576923076923075
62,"Henry, Ohio",386.60377358490564
63,"Hopewell, Virginia",0.0
64,"Hopkins, Kentucky",452.49691358024694
65,"Hunterdon, New Jersey",455.6773162939297
66,"Jackson, Illinois",666.6825531914893
67,"Jackson, Oklahoma",554.9222222222222
68,"Jasper, Illinois",497.54761904761904
69,"Jasper, Missouri",0.0
70,"Jefferson, Alabama",594.1314606741573
71,"Johnson, Illinois",491.1309523809524
72,"Johnson, Kansas",246.11267676767676
73,"Johnson, Missouri",188.67857142857142
74,"Kern, California",0.2127659574468085
75,"Kiowa, Oklahoma",234.45000000000002
76,"Knox, Ohio",393.10857142857145
77,"La plata, Colorado",60.26774193548387
78,"Labette, Kansas",364.788850174216
79,"Lackawanna, Pennsylvania",576.003717472119
80,"Lafayette, Missouri",191.7962962962963
81,"Lake, Illinois",0.0
82,"Laramie, Wyoming",40.78125
83,"Lauderdale, Alabama",530.0
84,"Laurel, Kentucky",396.6170212765957
85,"Lawrence, Alabama",657.0
86,"Lee, Iowa",432.53602305475505
87,"Linn, Kansas",343.43888888888887
88,"Linn, Missouri",237.7016129032258
89,"Logan, Oklahoma",486.32968750000003
90,"Los angeles, California",0.0
91,"Lucas, Ohio",57.2
92,"Macomb, Michigan",0.0
93,"Macon, Illinois",288.19444444444446
94,"Macon, Missouri",243.3963133640553
95,"Macoupin, Illinois",459.5402298850575
96,"Madison, Iowa",74.16666666666667
97,"Maricopa, Arizona",47.44392523364486
98,"Marion, Alabama",508.68
99,"Mariposa, California",0.0
100,"Marshall, Alabama",361.5375
101,"Marshall, Iowa",307.94545454545454
102,"Mayes, Oklahoma",578.4226804123712
103,"Mccracken, Kentucky",607.8954166666666
104,"Mccreary, Kentucky",0.0
105,"Mcintosh, Oklahoma",204.09710144927539
106,"Mclean, Illinois",410.90909090909093
107,"Miami, Kansas",56.63333333333333
108,"Mobile, Alabama",524.320895522388
109,"Monroe, Michigan",3.625
110,"Monterey, California",0.0
111,"Montgomery, Alabama",535.3749802955665
112,"Montgomery, Arkansas",27.596491228070175
113,"Montgomery, New York",261.9738028169014
114,"Montgomery, Pennsylvania",478.2903225806452
115,"Montgomery, Virginia",42.333333333333336
